./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_59_42_548_1627248.smt_in.smt2, unsat, 7, v3si, 64.32410301454365
./sledgehammer/TwoSquares/uf.816820.smt2, unsat, 18, v1, 1178.5688100755215
./sledgehammer/TwoSquares/uf.816820.smt2, unsat, 18, v3, 78.74018973857164
./sledgehammer/TwoSquares/uf.816820.smt2, unsat, 18, v3si, 79.7452818993479
./20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_51_47_804_1324224.smt_in.smt2, unsat, 8, v1, 319.01022168435156
./20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_51_47_804_1324224.smt_in.smt2, unsat, 8, v3, 333.3572179172188
./20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_51_47_804_1324224.smt_in.smt2, unsat, 8, v3si, 418.2423206195235
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_stream/x2015_09_10_17_25_33_589_1256369.smt_in.smt2, unsat, 9, v1, 383.8661341201514
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_stream/x2015_09_10_17_25_33_589_1256369.smt_in.smt2, unsat, 9, v3, 307.1305714510381
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_stream/x2015_09_10_17_25_33_589_1256369.smt_in.smt2, unsat, 9, v3si, 301.2768083047122
./grasshopper/uninstantiated/dl_insert_check_heap_access_16_4.smt2, unsat, 7, v1, 832.9597451779991
./grasshopper/uninstantiated/dl_insert_check_heap_access_16_4.smt2, unsat, 7, v3, 196.66915470547974
./grasshopper/uninstantiated/dl_insert_check_heap_access_16_4.smt2, unsat, 7, v3si, 196.39124182797968
./grasshopper/uninstantiated/rec_reverse_loop_check_heap_access_20_4.smt2, unsat, 15, v1, 1156.800677895546
./grasshopper/uninstantiated/rec_reverse_loop_check_heap_access_20_4.smt2, unsat, 15, v3, 1155.1587688382715
./grasshopper/uninstantiated/rec_reverse_loop_check_heap_access_20_4.smt2, unsat, 15, v3si, 1180.7917290758342
./sledgehammer/Arrow_Order/smtlib.667974.smt2, unsat, 11, v1, 1051.6597399171442
./sledgehammer/Arrow_Order/smtlib.667974.smt2, unsat, 11, v3, 1169.021698538214
./sledgehammer/Arrow_Order/smtlib.667974.smt2, unsat, 11, v3si, 1153.3159780669957
./sledgehammer/Fundamental_Theorem_Algebra/uf.1001270.smt2, unsat, 9, v1, 1197.4388739969581
./sledgehammer/Fundamental_Theorem_Algebra/uf.1001270.smt2, unsat, 9, v3, 460.3469213079661
./sledgehammer/Fundamental_Theorem_Algebra/uf.1001270.smt2, unsat, 9, v3si, 455.08423657529056
./sledgehammer/Arrow_Order/uf.556137.smt2, unsat, 11, v1, 192.54925579950213
./sledgehammer/Arrow_Order/uf.556137.smt2, unsat, 11, v3, 192.34681508131325
./sledgehammer/Arrow_Order/uf.556137.smt2, unsat, 11, v3si, 1007.9543337207288
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_07_36_942_2250532.smt_in.smt2, unsat, 6, v1, 461.49232366122305
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_07_36_942_2250532.smt_in.smt2, unsat, 6, v3, 465.1691214069724
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_07_36_942_2250532.smt_in.smt2, unsat, 6, v3si, 285.851795213297
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_55_20_312_1397321.smt_in.smt2, unsat, 5, v1, 257.78269956447184
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_55_20_312_1397321.smt_in.smt2, unsat, 5, v3, 290.83104204013944
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_55_20_312_1397321.smt_in.smt2, unsat, 5, v3si, 343.1883192099631
./20170428-Barrett/cdt-cade2015/nada/afp/koenigslemma/x2015_09_10_16_54_36_939_1175012.smt_in.smt2, unsat, 9, v1, 358.8865241110325
./20170428-Barrett/cdt-cade2015/nada/afp/koenigslemma/x2015_09_10_16_54_36_939_1175012.smt_in.smt2, unsat, 9, v3, 598.1457842551172
./20170428-Barrett/cdt-cade2015/nada/afp/koenigslemma/x2015_09_10_16_54_36_939_1175012.smt_in.smt2, unsat, 9, v3si, 495.10365244187415
./20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_48_04_372_1071474.smt_in.smt2, unsat, 5, v1, 522.4005057159811
./20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_48_04_372_1071474.smt_in.smt2, unsat, 5, v3, 523.2856332045048
./20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_48_04_372_1071474.smt_in.smt2, unsat, 5, v3si, 374.4256978072226
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_04_46_537_2017783.smt_in.smt2, unsat, 9, v1, 556.2398519068956
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_04_46_537_2017783.smt_in.smt2, unsat, 9, v3, 715.5336224026978
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_04_46_537_2017783.smt_in.smt2, unsat, 9, v3si, 856.1144100297242
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_03_57_795_1949648.smt_in.smt2, unsat, 6, v1, 502.0016667544842
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_03_57_795_1949648.smt_in.smt2, unsat, 6, v3, 525.4812543783337
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_03_57_795_1949648.smt_in.smt2, unsat, 6, v3si, 457.94654557853937
./20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_49_39_837_1199284.smt_in.smt2, unsat, 6, v1, 807.6913284137845
./20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_49_39_837_1199284.smt_in.smt2, unsat, 6, v3, 65.26122700050473
./20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_49_39_837_1199284.smt_in.smt2, unsat, 6, v3si, 615.8999554589391
./sledgehammer/Hoare/uf.672461.smt2, unsat, 5, v1, 645.4680441357195
./sledgehammer/Hoare/uf.672461.smt2, unsat, 5, v3, 459.2052586451173
./sledgehammer/Hoare/uf.672461.smt2, unsat, 5, v3si, 265.5951057430357
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_51_30_148_1188795.smt_in.smt2, unsat, 7, v1, 1047.5722142066807
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_51_30_148_1188795.smt_in.smt2, unsat, 7, v3, 675.313889734447
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_51_30_148_1188795.smt_in.smt2, unsat, 7, v3si, 1095.1013910658658
./sledgehammer/FFT/uf.809442.smt2, unsat, 18, v1, 371.5582547355443
./sledgehammer/FFT/uf.809442.smt2, unsat, 18, v3, 389.82593775354326
./sledgehammer/FFT/uf.809442.smt2, unsat, 18, v3si, 389.76946455799043
./sledgehammer/Fundamental_Theorem_Algebra/uf.571740.smt2, unsat, 8, v1, 218.7620267532766
