./sledgehammer/Fundamental_Theorem_Algebra/uf.731832.smt2, sat, 11, v1, 259.06514890119433
./sledgehammer/Fundamental_Theorem_Algebra/uf.731832.smt2, sat, 11, v3, 662.8483874201775
./sledgehammer/Fundamental_Theorem_Algebra/uf.731832.smt2, sat, 11, v1, 255.88266246393323
./sledgehammer/Fundamental_Theorem_Algebra/uf.731832.smt2, sat, 11, v3, 663.077195584774
./sledgehammer/Fundamental_Theorem_Algebra/uf.731832.smt2, sat, 11, v1, 255.69367725029588
./sledgehammer/Fundamental_Theorem_Algebra/uf.731832.smt2, sat, 11, v3, 671.4513204656541
./sledgehammer/QEpres/uf.847784.smt2, sat, 18, v1, 449.6529846377671
./sledgehammer/QEpres/uf.847784.smt2, sat, 18, v3, 221.2661107107997
./sledgehammer/QEpres/uf.847784.smt2, sat, 18, v1, 444.368993293494
./sledgehammer/QEpres/uf.847784.smt2, sat, 18, v3, 221.16042585670948
./sledgehammer/QEpres/uf.847784.smt2, sat, 18, v1, 448.94027668982744
./sledgehammer/QEpres/uf.847784.smt2, sat, 18, v3, 219.3446583300829
./sledgehammer/Fundamental_Theorem_Algebra/uf.774257.smt2, sat, 8, v1, 279.1258470453322
./sledgehammer/Fundamental_Theorem_Algebra/uf.774257.smt2, sat, 8, v3, 263.0600613206625
./sledgehammer/Fundamental_Theorem_Algebra/uf.774257.smt2, sat, 8, v1, 282.54281601309776
./sledgehammer/Fundamental_Theorem_Algebra/uf.774257.smt2, sat, 8, v3, 263.557237342
./sledgehammer/Fundamental_Theorem_Algebra/uf.774257.smt2, sat, 8, v1, 282.5942245684564
./sledgehammer/Fundamental_Theorem_Algebra/uf.774257.smt2, sat, 8, v3, 263.8128047250211
./sledgehammer/NS_Shared/smtlib.631475.smt2, sat, 8, v1, 482.2869662642479
./sledgehammer/NS_Shared/smtlib.631475.smt2, sat, 8, v3, 639.1089641228318
./sledgehammer/NS_Shared/smtlib.631475.smt2, sat, 8, v1, 485.23254392668605
./sledgehammer/NS_Shared/smtlib.631475.smt2, sat, 8, v3, 636.9345884807408
./sledgehammer/NS_Shared/smtlib.631475.smt2, sat, 8, v1, 483.0904277637601
./sledgehammer/NS_Shared/smtlib.631475.smt2, sat, 8, v3, 638.6244435124099
./sledgehammer/Fundamental_Theorem_Algebra/uf.1225355.smt2, sat, 6, v1, 318.9933601282537
./sledgehammer/Fundamental_Theorem_Algebra/uf.1225355.smt2, sat, 6, v3, 300.3427496366203
./sledgehammer/Fundamental_Theorem_Algebra/uf.1225355.smt2, sat, 6, v1, 316.2715029977262
./sledgehammer/Fundamental_Theorem_Algebra/uf.1225355.smt2, sat, 6, v3, 296.9618884027004
./sledgehammer/Fundamental_Theorem_Algebra/uf.1225355.smt2, sat, 6, v1, 315.28814593702555
./sledgehammer/Fundamental_Theorem_Algebra/uf.1225355.smt2, sat, 6, v3, 298.9099928215146
./sledgehammer/TwoSquares/uf.663784.smt2, sat, 8, v1, 703.7818037495017
