./grasshopper/uninstantiated/insert_check_heap_access_25_4.smt2, unsat, 11, v1, 487.333624497056
./grasshopper/uninstantiated/insert_check_heap_access_25_4.smt2, unsat, 11, v3, 491.58684841543436
./grasshopper/uninstantiated/insert_check_heap_access_25_4.smt2, unsat, 11, v1, 492.5439828559756
./grasshopper/uninstantiated/insert_check_heap_access_25_4.smt2, unsat, 11, v3, 489.1084768176079
./grasshopper/uninstantiated/insert_check_heap_access_25_4.smt2, unsat, 11, v1, 486.84678699076176
./grasshopper/uninstantiated/insert_check_heap_access_25_4.smt2, unsat, 11, v3, 487.37851106002927
./20170428-Barrett/cdt-cade2015/nada/afp/bindag/x2015_09_10_16_54_00_148_1099230.smt_in.smt2, unsat, 6, v1, 289.25466276332736
./20170428-Barrett/cdt-cade2015/nada/afp/bindag/x2015_09_10_16_54_00_148_1099230.smt_in.smt2, unsat, 6, v3, 288.3405363596976
./20170428-Barrett/cdt-cade2015/nada/afp/bindag/x2015_09_10_16_54_00_148_1099230.smt_in.smt2, unsat, 6, v1, 288.5480593070388
./20170428-Barrett/cdt-cade2015/nada/afp/bindag/x2015_09_10_16_54_00_148_1099230.smt_in.smt2, unsat, 6, v3, 289.01955887675285
./20170428-Barrett/cdt-cade2015/nada/afp/bindag/x2015_09_10_16_54_00_148_1099230.smt_in.smt2, unsat, 6, v1, 289.2915046811104
./20170428-Barrett/cdt-cade2015/nada/afp/bindag/x2015_09_10_16_54_00_148_1099230.smt_in.smt2, unsat, 6, v3, 289.31217120960355
./sledgehammer/Fundamental_Theorem_Algebra/uf.1445231.smt2, unsat, 9, v1, 212.5661340430379
./sledgehammer/Fundamental_Theorem_Algebra/uf.1445231.smt2, unsat, 9, v3, 213.59954019263387
./sledgehammer/Fundamental_Theorem_Algebra/uf.1445231.smt2, unsat, 9, v1, 212.19389022514224
./sledgehammer/Fundamental_Theorem_Algebra/uf.1445231.smt2, unsat, 9, v3, 211.68123717978597
./sledgehammer/Fundamental_Theorem_Algebra/uf.1445231.smt2, unsat, 9, v1, 212.33931466564536
./sledgehammer/Fundamental_Theorem_Algebra/uf.1445231.smt2, unsat, 9, v3, 212.0106792077422
./20170428-Barrett/cdt-cade2015/nada/distro/koenig/x2015_09_10_16_44_54_854_992098.smt_in.smt2, unsat, 5, v1, 225.74058442935348
./20170428-Barrett/cdt-cade2015/nada/distro/koenig/x2015_09_10_16_44_54_854_992098.smt_in.smt2, unsat, 5, v3, 258.4365845657885
./20170428-Barrett/cdt-cade2015/nada/distro/koenig/x2015_09_10_16_44_54_854_992098.smt_in.smt2, unsat, 5, v1, 226.20567270740867
./20170428-Barrett/cdt-cade2015/nada/distro/koenig/x2015_09_10_16_44_54_854_992098.smt_in.smt2, unsat, 5, v3, 257.48553493618965
./20170428-Barrett/cdt-cade2015/nada/distro/koenig/x2015_09_10_16_44_54_854_992098.smt_in.smt2, unsat, 5, v1, 226.74381936341524
./20170428-Barrett/cdt-cade2015/nada/distro/koenig/x2015_09_10_16_44_54_854_992098.smt_in.smt2, unsat, 5, v3, 258.6245166659355
./sledgehammer/TwoSquares/uf.816820.smt2, unsat, 18, v1, 1176.526732236147
./sledgehammer/TwoSquares/uf.816820.smt2, unsat, 18, v3, 79.21546424925327
./sledgehammer/TwoSquares/uf.816820.smt2, unsat, 18, v1, 1194.3866693601012
./sledgehammer/TwoSquares/uf.816820.smt2, unsat, 18, v3, 79.24943529069424
./sledgehammer/TwoSquares/uf.816820.smt2, unsat, 18, v1, 1176.9421843849123
./sledgehammer/TwoSquares/uf.816820.smt2, unsat, 18, v3, 78.97828453406692
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_07_47_308_2265102.smt_in.smt2, unsat, 6, v1, 449.99277326464653
